year,category,type,co2,note
2010,Gesamt,real,2422,
2010,Verkehr,real,707,
2010,Wirtschaft,real,863,
2010,Haushalte,real,795,
2010,Kommune und Kreis,real,57,
2011,Gesamt,real,2262,
2011,Verkehr,real,719,
2011,Wirtschaft,real,786,
2011,Haushalte,real,703,
2011,Kommune und Kreis,real,53,
2012,Gesamt,real,2340,
2012,Verkehr,real,735,
2012,Wirtschaft,real,814,
2012,Haushalte,real,736,
2012,Kommune und Kreis,real,55,
2013,Gesamt,real,2395,
2013,Verkehr,real,739,
2013,Wirtschaft,real,836,
2013,Haushalte,real,764,
2013,Kommune und Kreis,real,56,
2014,Gesamt,real,2217,last_emissions
2014,Verkehr,real,754,
2014,Wirtschaft,real,745,
2014,Haushalte,real,669,
2014,Kommune und Kreis,real,50,
2014,Einwohner,Einwohner,287000,geschätzt
