year,category,type,co2,note
1987,Private Haushalte,real,1.953,
1987,Städtische Einrichtungen,real,171,
1987,Gewerbe / Handel / Dienstleistungen / Industrie / verarbeitendes Gewerbe,real,4552,
1987,Verkehr,real,1193,
1987,Gesamt,real,7869,
1997,Private Haushalte,real,1775,
1997,Städtische Einrichtungen,real,170,
1997,Gewerbe / Handel / Dienstleistungen / Industrie / verarbeitendes Gewerbe,real,4151,
1997,Verkehr,real,1239,
1997,Gesamt,real,7335,
2001,Private Haushalte,real,1486,
2001,Städtische Einrichtungen,real,126,
2001,Gewerbe / Handel / Dienstleistungen / Industrie / verarbeitendes Gewerbe,real,3640,
2001,Verkehr,real,1132,
2001,Gesamt,real,6384,
2005,Private Haushalte,real,1253,
2005,Städtische Einrichtungen,real,116,
2005,Gewerbe / Handel / Dienstleistungen / Industrie / verarbeitendes Gewerbe,real,3194,
2005,Verkehr,real,1198,
2005,Gesamt,real,5761,
2007,Private Haushalte,real,1324,
2007,Städtische Einrichtungen,real,125,
2007,Gewerbe / Handel / Dienstleistungen / Industrie / verarbeitendes Gewerbe,real,2959,
2007,Verkehr,real,1198,
2007,Gesamt,real,5606,
2010,Private Haushalte,real,1309,
2010,Städtische Einrichtungen,real,109,
2010,Gewerbe / Handel / Dienstleistungen / Industrie / verarbeitendes Gewerbe,real,2402,
2010,Verkehr,real,1060,
2010,Gesamt,real,4880,
2012,Private Haushalte,real,1391,
2012,Städtische Einrichtungen,real,112,
2012,Gewerbe / Handel / Dienstleistungen / Industrie / verarbeitendes Gewerbe,real,2260,
2012,Verkehr,real,1078,
2012,Gesamt,real,4841,
2014,Private Haushalte,real,1288,
2014,Städtische Einrichtungen,real,101,
2014,Gewerbe / Handel / Dienstleistungen / Industrie / verarbeitendes Gewerbe,real,2081,
2014,Verkehr,real,1171,
2014,Gesamt,real,4641,
2016,Private Haushalte,real,1254,
2016,Städtische Einrichtungen,real,93,
2016,Gewerbe / Handel / Dienstleistungen / Industrie / verarbeitendes Gewerbe,real,1731,
2016,Verkehr,real,1137,
2016,Gesamt,real,4215,last_emissions
2016,Einwohner,Einwohner,635704,
