year,category,type,value,note
1990,PHH/GHD,real,9360,
2003,PHH/GHD,real,8591,
2004,PHH/GHD,real,8999,
2005,PHH/GHD,real,8719,
2006,PHH/GHD,real,8882,
2007,PHH/GHD,real,8139,
2008,PHH/GHD,real,8350,
2009,PHH/GHD,real,8296,
2010,PHH/GHD,real,8666,
2011,PHH/GHD,real,8281,
2012,PHH/GHD,real,8404,
2013,PHH/GHD,real,8376,
2014,PHH/GHD,real,7523,
2015,PHH/GHD,real,7571,
2016,PHH/GHD,real,7428,
2017,PHH/GHD,real,7167,
2030,PHH/GHD,geplant,12298,
1990,Industrie,real,5473,
2003,Industrie,real,7023,
2004,Industrie,real,6726,
2005,Industrie,real,6325,
2006,Industrie,real,5472,
2007,Industrie,real,5951,
2008,Industrie,real,5747,
2009,Industrie,real,5401,
2010,Industrie,real,5939,
2011,Industrie,real,5809,
2012,Industrie,real,5912,
2013,Industrie,real,5310,
2014,Industrie,real,5460,
2015,Industrie,real,5226,
2016,Industrie,real,4749,
2017,Industrie,real,4589,
2030,Industrie,geplant,2989,
1990,Verkehr,real,5872,
2003,Verkehr,real,4794,
2004,Verkehr,real,4694,
2005,Verkehr,real,4600,
2006,Verkehr,real,4700,
2007,Verkehr,real,4477,
2008,Verkehr,real,4227,
2009,Verkehr,real,4168,
2010,Verkehr,real,4246,
2011,Verkehr,real,4286,
2012,Verkehr,real,4264,
2013,Verkehr,real,4342,
2014,Verkehr,real,4423,
2015,Verkehr,real,4466,
2016,Verkehr,real,4565,
2017,Verkehr,real,4641,
2030,Verkehr,geplant,3241,
1990,Gesamt,real,20705,
2003,Gesamt,real,20408,
2004,Gesamt,real,20419,
2005,Gesamt,real,19645,
2006,Gesamt,real,19055,
2007,Gesamt,real,18567,
2008,Gesamt,real,18324,
2009,Gesamt,real,17865,
2010,Gesamt,real,18850,
2011,Gesamt,real,18376,
2012,Gesamt,real,18578,
2013,Gesamt,real,18028,
2014,Gesamt,real,17407,
2015,Gesamt,real,17263,
2016,Gesamt,real,16743,
2017,Gesamt,real,16398,last_emissions
2030,Gesamt,geplant,9300,
2018,Einwohner,Einwohner,1841179,
