year,category,type,co2,note
2010,Private Haushalte,real,131.717,
2011,Private Haushalte,real,113.423,
2012,Private Haushalte,real,107.564,
2013,Private Haushalte,real,100.678,
2014,Private Haushalte,real,90.790,
2015,Private Haushalte,real,91.962,
2016,Private Haushalte,real,130.407,
2010,Industrie,real,61.622,
2011,Industrie,real,50.356,
2012,Industrie,real,59.401,
2013,Industrie,real,71.133,
2014,Industrie,real,67.222,
2015,Industrie,real,80.116,
2016,Industrie,real,75.058,
2017,Industrie,real,72.027,
2010,Gewerbe; Handel; Dienstleistungen (GHD),real,18.584,
2011,Gewerbe; Handel; Dienstleistungen (GHD),real,20.110,
2012,Gewerbe; Handel; Dienstleistungen (GHD),real,26.207,
2013,Gewerbe; Handel; Dienstleistungen (GHD),real,32.382,
2014,Gewerbe; Handel; Dienstleistungen (GHD),real,30.003,
2015,Gewerbe; Handel; Dienstleistungen (GHD),real,20.254,
2016,Gewerbe; Handel; Dienstleistungen (GHD),real,35.835,
2017,Gewerbe; Handel; Dienstleistungen (GHD),real,35.405,
2010,Kommunale Verwaltung,real,3.291,
2011,Kommunale Verwaltung,real,2.712,
2012,Kommunale Verwaltung,real,4.100,
2013,Kommunale Verwaltung,real,2.246,
2014,Kommunale Verwaltung,real,1.821,
2015,Kommunale Verwaltung,real,1.818,
2010,Verkehr,real,204.630,
2011,Verkehr,real,208.216,
2012,Verkehr,real,205.176,
2013,Verkehr,real,217.160,
2014,Verkehr,real,219.640,
2015,Verkehr,real,222.950,
2016,Verkehr,real,212.898,
2017,Verkehr,real,212.898,
2011,Kommunale Flotte,real,48.647140192728,
2012,Kommunale Flotte,real,44.837067760164,
2013,Kommunale Flotte,real,43.863320093832,
2014,Kommunale Flotte,real,45.719872900344,
2015,Kommunale Flotte,real,40.18440672882,
2011,Gesamt,real,394.865,
2012,Gesamt,real,402.492,
2013,Gesamt,real,423.642,
2014,Gesamt,real,409.522,
2015,Gesamt,real,417.141,last_emissions
2018,Einwohner,Einwohner,103725,
