assessment,id,title,text,priority,potential,parent

green,Ü,"Übergreifend","Übergreifend",5,,

green,Ü1,"Klimaschutzkoordination (Klenko) personell ausbauen","Klimaschutzkoordination (Klenko) personell ausbauen",5,(5),Ü
white,Ü1-Plan,"geplant","Die Klenko war mit 2 Stellen besetzt. Bei der Vielzahl der Themen und Ansprüche war eine deutliche Überbelastung der Mitarbeiter zu verzeichnen und neue Projekte konnten nicht mehr in Angriff genommen werden oder bestehende nicht mehr ausgebaut werden.",5,(5),Ü1
green,Ü1-13,"Sachstand 2013","Die Klenko ist nunmehr personell auf 4 Personen aufgestockt worden und das Arbeitsspektrum konnte entsprechend dem Handlungskonzept 2020 ausgeweitet werden. Neue Themen wie die Klimaanpassung sollen in Zukunft ebenfalls angegangen werden.",5,(5),Ü1
green,Ü1-1516,"Sachstand 2015/2016","Die Klenko ist im September 2016 durch zwei befristete Masterplanstellen (vier Jahre) aufgestockt worden, so dass nunmehr insgesamt 6 Personalstellen zur Verfügung stehen. Zwei Stellen sind auf Grund von Mutterschutz und Umbesetzung der Mitarbeiter zurzeit (Mitte 2016 bis Anfang 2018) unbesetzt (Themenbereiche „Bauen und Sanieren“ sowie „Gewerbe und Erneuerbare Energien“).",5,(5),Ü1
green,Ü1-1718,"Sachstand 2017 / 2018","Seit Anfang 2018 sind alle 6 Personalstellen der Klenko besetzt. Zum September 2018 wird die Klenko durch 1,5 Personalstellen im Bereich Klimaanpassung ergänzt, wobei die Vollzeitstelle befristet (max. drei Jahre) vom Bundesumweltministerium gefördert wird.",5,(5),Ü1

red,Ü2,"Klimaschutzfond zur Finanzierung eines Teils der zusätzlichen Maßnahmen und Projekte","Klimaschutzfond zur Finanzierung eines Teils der zusätzlichen Maßnahmen und Projekte",5,4,Ü
white,Ü2-Plan,"geplant","Zur Finanzierung eines Teils der zusätzlichen Maßnahmen und Projekte soll ein Klimaschutzfond eingerichtet werden. Finanzierung z.B. aus den Gewinnen der Stadtwerke Münster sowie möglichst ergänzend durch weitere Unternehmen in der Stadt Münster.",5,4,Ü2
red,Ü2-13,"Sachstand 2013","Auf Grund der angespannten Haushaltslage ist die Umsetzung eines Klimaschutzfonds zurzeit nicht möglich, da der nötige Grundstock nicht gebildet werden kann.",5,4,Ü2
red,Ü2-1516,"Sachstand 2015 / 2016","Kein neuer Sachstand",5,4,Ü2
red,Ü2-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",5,4,Ü2

green,Ü3,"Klima-Check von Ratsbeschlüssen","Klima-Check von Ratsbeschlüssen",4,-,Ü
white,Ü3-Plan,"geplant","Systematik zur durchgängigen Prüfung der Auswirkungen von Ratsbeschlüssen auf Klimaschutzstrategie und Klimagasausstoß.",4,-,Ü3
red,Ü3-13,"Sachstand 2013","Das Projekt ist bislang noch nicht in Angriff genommen worden, da es im Rahmen der Zuständigkeitsregelung für den Klimaschutz eingebunden werden soll. Die Umsetzung eines Klimacheck für Ratsbeschlüsse sollte zur Erleichterung der Arbeit des Beirates für Klimaschutz beitragen.",4,-,Ü3
red,Ü3-1516,"Sachstand 2015 / 2016","Kein neuer Sachstand",4,-,Ü3
green,Ü3-1718,"Sachstand 2017 / 2018","Im Rahmen der Einführung der Anlage A zu allen Ratsvorlagen wird die Relevanz des Klimaschutzes als Querschnittthema hervorgehoben werden. Dabei soll das Querschnittsthema im Sinne eines Positivkatalogs erwähnt werden, wenn der mit der Vorlage zu entscheidende Sachverhalt bzw. der Bericht klimaschutzrelevante Aussagen trifft und dies für die Beschlussfassung und Entscheidung von unmittelbarer und grundsätzlicher Bedeutung und Relevanz ist.",4,-,Ü3

green,Ü4,"Münsters Allianz für Klimaschutz","Münsters Allianz für Klimaschutz",5,(5),Ü
white,Ü4-Plan,"geplant","Aufbau eines stadtweiten Netzwerkes 'Allianz für Klimaschutz' mit gesellschaftlichen Akteuren aus Wirtschaft, Handwerk, Dienstleistung., etc. zur Entwicklung und Umsetzung von Klimaschutzmaßnahmen in den Bereichen.",5,(5),Ü4
green,Ü4-13,"Sachstand 2013","Im Mai 2011 wurde die Allianz für Klimaschutz gegründet. Gleich zu Beginn traten 40 Unternehmen der Allianz bei. Im zweiten Projektjahr konnte die Teilnehmerzahl auf 70 Unternehmen erhöht werden. Die Unternehmen, Institutionen und Verbände haben sich bisher in mehr als 45 Workshops und Fachveranstaltungen getroffen und mit Hilfe externer Experten Ideen und Projekte für die Einsparung von Energie in den Betrieben entwickelt. Der Fokus lag auf den Themenbereichen Sofortmaßnahmen und Mitarbeitermotivation, Energie-Controlling, Green IT, LED, Optimierung der Regelungstechnik, Solare Eigenstromerzeugung, energieeffiziente Kältetechnik und Mobilitätsmanagement. Eine besondere Rolle kommt den so genannten Klima-Paten zu. Sie definieren Ziele, treiben konkrete Projekte voran und repräsentieren die Allianz in der Öffentlichkeit. Dazu treffen sich Vertreter der Firmengruppe Brück, der Sahle Baubetreuungsgesellschaft mbH, der Westfälischen Provinzial Versicherung AG, der Kenersys GmbH, der Stadtwerke Münster GmbH und des Batterieforschungsinstituts MEET der Universität Münster einmal jährlich mit Oberbürgermeister, Verwaltungsspitze und Politik.",5,(5),Ü4
green,Ü4-1516,"Sachstand 2015 / 2016","Mittlerweile konnte die Teilnehmerzahl der Unternehmen auf mehr als 100 gesteigert werden. Neben den Workshops, die dazu dienen, den Unternehmen das notwendige Fachwissen zu vermitteln, wurde eine intensive Öffentlichkeitsarbeit umgesetzt. Das Marketingkonzept, bei dem die Unternehmen unterschiedliche Module beauftragen konnten, hat u.a. folgende Bausteine enthalten: Imagefilm, Klimanews (Auflagenstärke rund 55.000 Stück als Zeitungsbeilage), Buswerbung für 1 Jahr auf Stadtwerke-Bussen, Plakatwerbung, Pressemitteilungen. Die Intensivierung der Öffentlichkeitsarbeit hat zu einer deutlichen Stärkung der Außenwirkung sowohl des Projektes als auch der teilnehmenden Unternehmen geführt. In den Jahren von 2013 bis 2016 haben jährlich Koordinierungstreffen stattgefunden, um auf die Wünsche und Bedürfnisse der Unternehmen einzugehen, die Inhalte zielgerichtet zu steuern und weiter zu verfolgen. Eine Abfrage im Jahr 2016 durch das beauftrage Unternehmen Gertec GmbH, dass seit der Gründung des Netzwerkes die Umsetzung des Projektes begleitet, konnte aufzeigen, dass die Unternehmen mit den Angeboten sehr zufrieden gewesen sind und dabei besonders die flexiblen inhaltlichen, auf aktuelle Entwicklungen bezogenen Angebote und den Austausch untereinander sehr Wert schätzen.",5,(5),Ü4
,Ü4-1718,"Sachstand 2017 / 2018","Die Zahl der Mitglieder im Netzwerk Münsters Allianz für Klimaschutz liegt weiterhin bei über 100 Unternehmen, wobei der zentrale Fokus des Netzwerks nach wie vor auf die Realisierung von Maßnahmen und Projekten innerhalb der Unternehmen gesetzt wird. Dazu haben sich insbesondere die regelmäßig durch die Stadt Münster angebotenen fachlichen Workshops etabliert, die immer in einer Kombination aus Fachwissen und konkreten praxisnahen Beispielen die Teilnehmer motivieren und anregen derartige Maßnahmen und Projekte auch im eigenen Unternehmen umzusetzen. Ein besonderer Fokus wurde im Jahr 2017 auf das Thema Mobilität mit dem Schwerpunkt Elektromobilität gelegt. Im Bereich der Öffentlichkeitsarbeit erscheint jährlich die Klimanews (Auflagenstärke rund 55.000 Stück als Zeitungsbeilage), in der die beteiligten Unternehmen die Möglichkeit haben ihre erfolgreichen Klimaschutzmaßnahmen der Öffentlichkeit zu präsentieren. Neben den technischen energetischen Einsparpotentialen ist im Frühjahr 2018 der Schwerpunkt auf eher verhaltensorientierte Ansätze zum Klimaschutz gelegt worden. Dabei stand die Verbindung von Klimaschutz und Mitarbeitermotivation (Attraktivität des Arbeitgebers) im Fokus. Themen waren Klimaschutz am Arbeitsplatz (Büroausstattung), Klimaschutz und Ernährung sowie Klimaschutz und Mobilität (Vermeidung von Wegen, Home Office, etc.). Die konstante Beteiligung der Unternehmen an den Veranstaltungen, eine geringe Fluktuation im Netzwerk und die Rückmeldung aus regelmäßigen persönlichen Beratungsgesprächen durch das beauftrage Beratungsbüro und der Stadt Münster zeigen, dass die Kooperation zwischen den beteiligten Unternehmen und der Stadt Münster in dieser Form sehr gut funktioniert.",5,(5),Ü4

green,Ü5,"Fortsetzung und Weiterentwicklung Öffentlichkeitsarbeit","Fortsetzung und Weiterentwicklung Öffentlichkeitsarbeit",5,(3),Ü
white,Ü5-Plan,"geplant","Die guten Aktivitäten in Münster sollen beibehalten und weiter ergänzt werden, z.B. Energiestadtplan Münster ausbauen oder übergreifender Claim für Klimaschutzprojekte",5,(3),Ü5
green,Ü5-13,"Sachstand 2013","Die Öffentlichkeitsarbeit für den Klimaschutz ist intensiviert und ausgebaut worden, wobei die Grundlagen in der Beschlussvorlage V/0234/2011 - Fortsetzung und Weiterentwicklung Öffentlichkeitsarbeit dargestellt worden sind. Insbesondere sind folgende Projekte umgesetzt worden:<br>1. „Münster packt ́s! Der Bürgerpakt für Klimaschutz“ ist weiter entwickelt worden. Seit Mai 2011 wurden 6 neue Kooperationspartner hinzugewonnen und in 19 verschiedenen Aktionen (z.B. Infostände auf der Messe Bauen und Wohnen; Hafenfest; Kampagne mit einer Bäckerei, Interkulturelles Fest; Sommerfest Kinderhaus mit Einbindung einkommensschwacher Haushalte, ...) wurden weitere 1.000 Bürgerpakt-Teilnehmer gewonnen. Für das Jahr 2013 ist der Schwerpunkt auf Studierende gelegt worden.<br>2. Das „Klimasparbuch“, ein Ratgeber und Gutscheinbuch zum Klimaschutz im Alltag, wurde in einer Auflagenhöhe von 10.000 Exemplaren in Münster über den Buchhandel verkauft oder als Präsent im Rahmen von verschiedenen Aktionen (auch der Stadtwerke) abgegeben.<br>3. Eine eigene Seite im Internet www.klima.muenster.de wurde eingerichtet und wird regelmäßig mit aktuellen Informationen zum Thema „Bürgerpakt für Klimaschutz“, „Allianz für Klimaschutz“ und „Bauen und Sanieren“ bestückt. Auch eine Facebook - Seite wurde eingerichtet, wobei eine positive Verstetigung noch nicht erreicht worden ist.<br>4. Viele Anregungen aus der Beschlussvorlage wurden aufgegriffen, wie die Beteiligung am Veggietag, die Umsetzung des Solarchecks und die Beteiligung an vielen Aktionen.",5,(3),Ü5
