year,category,type,co2,note
2005,Wirtschaft,real,474,Klimaschutzkonzept Stadt Paderborn 2016
2006,Wirtschaft,real,477,Klimaschutzkonzept Stadt Paderborn 2016
2007,Wirtschaft,real,489,Klimaschutzkonzept Stadt Paderborn 2016
2008,Wirtschaft,real,513,Klimaschutzkonzept Stadt Paderborn 2016
2009,Wirtschaft,real,440,Klimaschutzkonzept Stadt Paderborn 2016
2010,Wirtschaft,real,508,Klimaschutzkonzept Stadt Paderborn 2016
2011,Wirtschaft,real,587,Klimaschutzkonzept Stadt Paderborn 2016
2012,Wirtschaft,real,488,Klimaschutzkonzept Stadt Paderborn 2016
2030,Wirtschaft,geplant,429,Klimaschutzkonzept Stadt Paderborn 2016
2050,Wirtschaft,geplant,354,Klimaschutzkonzept Stadt Paderborn 2016
2005,Verkehr,real,366,Klimaschutzkonzept Stadt Paderborn 2016
2006,Verkehr,real,369,Klimaschutzkonzept Stadt Paderborn 2016
2007,Verkehr,real,378,Klimaschutzkonzept Stadt Paderborn 2016
2008,Verkehr,real,368,Klimaschutzkonzept Stadt Paderborn 2016
2009,Verkehr,real,369,Klimaschutzkonzept Stadt Paderborn 2016
2010,Verkehr,real,378,Klimaschutzkonzept Stadt Paderborn 2016
2011,Verkehr,real,386,Klimaschutzkonzept Stadt Paderborn 2016
2012,Verkehr,real,391,Klimaschutzkonzept Stadt Paderborn 2016
2030,Verkehr,geplant,329,Klimaschutzkonzept Stadt Paderborn 2016
2050,Verkehr,geplant,292,Klimaschutzkonzept Stadt Paderborn 2016
2005,Haushalte,real,293,Klimaschutzkonzept Stadt Paderborn 2016
2006,Haushalte,real,295,Klimaschutzkonzept Stadt Paderborn 2016
2007,Haushalte,real,283,Klimaschutzkonzept Stadt Paderborn 2016
2008,Haushalte,real,316,Klimaschutzkonzept Stadt Paderborn 2016
2009,Haushalte,real,298,Klimaschutzkonzept Stadt Paderborn 2016
2010,Haushalte,real,326,Klimaschutzkonzept Stadt Paderborn 2016
2011,Haushalte,real,313,Klimaschutzkonzept Stadt Paderborn 2016
2012,Haushalte,real,316,Klimaschutzkonzept Stadt Paderborn 2016
2030,Haushalte,geplant,241,Klimaschutzkonzept Stadt Paderborn 2016
2050,Haushalte,geplant,179,Klimaschutzkonzept Stadt Paderborn 2016
2005,Kommune,real,20,Klimaschutzkonzept Stadt Paderborn 2016
2006,Kommune,real,19,Klimaschutzkonzept Stadt Paderborn 2016
2007,Kommune,real,18,Klimaschutzkonzept Stadt Paderborn 2016
2008,Kommune,real,19,Klimaschutzkonzept Stadt Paderborn 2016
2009,Kommune,real,22,Klimaschutzkonzept Stadt Paderborn 2016
2010,Kommune,real,24,Klimaschutzkonzept Stadt Paderborn 2016
2011,Kommune,real,23,Klimaschutzkonzept Stadt Paderborn 2016
2012,Kommune,real,23,Klimaschutzkonzept Stadt Paderborn 2016
2005,Gesamt,real,1153,Klimaschutzkonzept Stadt Paderborn 2016
2006,Gesamt,real,1160,Klimaschutzkonzept Stadt Paderborn 2016
2007,Gesamt,real,1169,Klimaschutzkonzept Stadt Paderborn 2016
2008,Gesamt,real,1216,Klimaschutzkonzept Stadt Paderborn 2016
2009,Gesamt,real,1230,Klimaschutzkonzept Stadt Paderborn 2016
2010,Gesamt,real,1237,Klimaschutzkonzept Stadt Paderborn 2016
2011,Gesamt,real,1310,Klimaschutzkonzept Stadt Paderborn 2016
2012,Gesamt,real,1218,last_emissions
2030,Gesamt,geplant,848,Klimaschutzkonzept Stadt Paderborn 2016
2050,Gesamt,geplant,658,Klimaschutzkonzept Stadt Paderborn 2016
2019,Einwohner,Einwohner,151633,
