Jahr,Wärme real,Strom real,Verkehr real,Gesamt real,Trend real,Wärme geplant,Strom geplant,Verkehr geplant,Gesamt geplant,Paris,Einwohner
1990,1119,819,579,2517,2606.9932323145,TODO,TODO,TODO,2517,NaN,275150
1995,1060,822,577,2459,2491.4498260645,TODO,TODO,TODO,2349.2,NaN,279632
2000,1064,839,568,2471,2375.9064198145,TODO,TODO,TODO,2181.4,NaN,279461
2005,958,885,543,2386,2260.3630135645,TODO,TODO,TODO,2013.6,NaN,278925
2006,NaN,NaN,NaN,2295,2237.2543323145,TODO,TODO,TODO,1980.04,NaN,280023
2010,788,800,528,2116,2144.8196073145,TODO,TODO,TODO,1845.8,NaN,285180
2011,742,789,530,2061,2121.7109260645,TODO,TODO,TODO,1812.24,NaN,296440
2015,775,750,492,2017,2029.2762010645,TODO,TODO,TODO,1678,NaN,305235
2016,780,710,491,1981,2006.1675198145,TODO,TODO,TODO,1644.44,NaN,307842
2017,780,690,484,1954,1983.0588385645,TODO,TODO,TODO,1610.88,NaN,309429
2018,NaN,NaN,NaN,NaN,1959.9501573145,TODO,TODO,TODO,1577.32,NaN,310610
2019,NaN,NaN,NaN,NaN,1936.8414760645,TODO,TODO,TODO,1543.76,1836.5,310521
2020,NaN,NaN,NaN,NaN,1913.7327948145,TODO,TODO,TODO,1510.2,1719,313737.666666667
2021,NaN,NaN,NaN,NaN,1890.6241135645,TODO,TODO,TODO,1281.5725,1601.5,316954.333333333
2022,NaN,NaN,NaN,NaN,1867.5154323145,TODO,TODO,TODO,1241.72,1484,320171
2023,NaN,NaN,NaN,NaN,1844.4067510645,TODO,TODO,TODO,1201.8675,1366.5,323387.666666667
2024,NaN,NaN,NaN,NaN,1821.2980698145,TODO,TODO,TODO,1162.015,1249,326604.333333333
2025,NaN,NaN,NaN,NaN,1798.1893885645,TODO,TODO,TODO,1122.1625,1131.5,329821
2026,NaN,NaN,NaN,NaN,1775.0807073145,TODO,TODO,TODO,1082.31,1014,331821
2027,NaN,NaN,NaN,NaN,1751.9720260645,TODO,TODO,TODO,1042.4575,896.5,333821
2028,NaN,NaN,NaN,NaN,1728.8633448145,TODO,TODO,TODO,1002.605,779,335821
2029,NaN,NaN,NaN,NaN,1705.7546635645,TODO,TODO,TODO,962.7525,661.5,337821
2030,NaN,NaN,NaN,NaN,1682.64598231451,TODO,TODO,TODO,922.9,544,339821
2031,NaN,NaN,NaN,NaN,1659.5373010645,TODO,TODO,TODO,883.0475,426.5,341821
2032,NaN,NaN,NaN,NaN,1636.4286198145,TODO,TODO,TODO,843.195,309,343821
2033,NaN,NaN,NaN,NaN,1613.3199385645,TODO,TODO,TODO,803.3425,191.5,345821
2034,NaN,NaN,NaN,NaN,1590.2112573145,TODO,TODO,TODO,763.49,74,347821
2035,NaN,NaN,NaN,NaN,1567.1025760645,TODO,TODO,TODO,723.6375,0,349821
2036,NaN,NaN,NaN,NaN,1543.9938948145,TODO,TODO,TODO,683.785,0,351821
2037,NaN,NaN,NaN,NaN,1520.8852135645,TODO,TODO,TODO,643.9325,0,353821
2038,NaN,NaN,NaN,NaN,1497.7765323145,TODO,TODO,TODO,604.08,0,355821
2039,NaN,NaN,NaN,NaN,1474.6678510645,TODO,TODO,TODO,564.2275,0,357821
2040,NaN,NaN,NaN,NaN,1451.5591698145,TODO,TODO,TODO,524.375,0,359821
2041,NaN,NaN,NaN,NaN,1428.4504885645,TODO,TODO,TODO,484.5225,0,361821
2042,NaN,NaN,NaN,NaN,1405.3418073145,TODO,TODO,TODO,444.67,0,363821
2043,NaN,NaN,NaN,NaN,1382.2331260645,TODO,TODO,TODO,404.8175,0,365821
2044,NaN,NaN,NaN,NaN,1359.1244448145,TODO,TODO,TODO,364.965,0,367821
2045,NaN,NaN,NaN,NaN,1336.0157635645,TODO,TODO,TODO,325.1125,0,369821
2046,NaN,NaN,NaN,NaN,1312.9070823145,TODO,TODO,TODO,285.26,0,371821
2047,NaN,NaN,NaN,NaN,1289.7984010645,TODO,TODO,TODO,245.4075,0,373821
2048,NaN,NaN,NaN,NaN,1266.6897198145,TODO,TODO,TODO,205.555,0,375821
2049,NaN,NaN,NaN,NaN,1243.5810385645,TODO,TODO,TODO,165.7025,0,377821
2050,NaN,NaN,NaN,NaN,1220.4723573145,TODO,TODO,TODO,125.85,0,379821
