name,address,latitude,longitude
koeln,"Köln, Nordrhein-Westfalen, Deutschland",50.938361,6.959974
ulm,"Ulm, Baden-Württemberg, Deutschland",48.3974003,9.9934336
muenchen,"München, Bayern, Deutschland",48.1371079,11.5753822
chemnitz,"Chemnitz, Sachsen, Deutschland",50.8322608,12.9252977
muenster,"Münster, Nordrhein-Westfalen, Deutschland",51.9625101,7.6251879
duesseldorf,"Düsseldorf, Nordrhein-Westfalen, Deutschland",51.2254018,6.7763137
berlin,"Berlin, Deutschland",52.5170365,13.3888599
leipzig,"Leipzig, Sachsen, Deutschland",51.3406321,12.3747329
dortmund,"Dortmund, Nordrhein-Westfalen, Deutschland",51.5142273,7.4652789
bielefeld,"Bielefeld, Nordrhein-Westfalen, Deutschland",52.0191005,8.531007
moers,"Moers, Kreis Wesel, Nordrhein-Westfalen, Deutschland",51.451283,6.62843
hamburg,"Hamburg, Deutschland",53.550341,10.000654
bonn,"Bonn, Nordrhein-Westfalen, Deutschland",50.735851,7.10066
landau,"Landau in der Pfalz, Rheinland-Pfalz, Deutschland",49.1982825,8.1123441
berlin,"Berlin, Deutschland",52.5170365,13.3888599
karlsruhe,"Karlsruhe, Baden-Württemberg, Deutschland",49.0068705,8.4034195
paderborn,"Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland",51.71895955,8.764869778177559
